Date,Open,High,Low,Close,Volume,Adj Close
2016-11-03,23.549999,24.200001,23.299999,23.40,292700,23.40
2016-11-02,24.25,24.50,23.549999,23.950001,375400,23.512001
2016-11-01,25.15,25.85,24.450001,24.60,488700,24.150114
2016-10-31,24.40,25.10,24.00,25.00,263400,24.542798
2016-10-28,23.950001,24.75,23.60,24.00,578500,23.561086
2016-10-27,23.50,24.00,23.049999,23.50,349000,23.07023
2016-10-26,23.90,23.90,23.10,23.299999,211900,22.873887
2016-10-25,23.60,24.00,23.25,23.85,280600,23.41383
2016-10-24,23.450001,23.75,23.389999,23.60,229000,23.168402
2016-10-21,23.950001,23.950001,23.40,23.450001,194100,23.021145
2016-10-20,23.700001,23.950001,23.25,23.950001,293800,23.512001
2016-10-19,23.700001,23.85,23.299999,23.75,452400,23.315658
2016-10-18,23.299999,23.700001,23.15,23.549999,238800,23.119315
2016-10-17,22.90,23.450001,22.84,22.90,231700,22.481203
2016-10-14,22.379999,22.959999,22.040001,22.82,178300,22.402666
2016-10-13,21.93,22.34,21.50,22.200001,351000,21.794005
2016-10-12,22.59,22.639999,21.57,22.01,307500,21.60748
2016-10-11,22.469999,22.959999,22.32,22.67,315400,22.255409
2016-10-10,22.60,22.67,22.35,22.60,419200,22.18669
2016-10-07,22.450001,22.540001,22.120001,22.25,333300,21.84309
2016-10-06,22.16,22.549999,22.10,22.43,237200,22.019799
2016-10-05,21.469999,22.33,21.42,22.25,202600,21.84309
2016-10-04,22.25,22.25,21.610001,21.809999,129800,21.411137
2016-10-03,22.16,22.33,22.00,22.24,253700,21.833273
2016-09-30,22.299999,22.65,22.049999,22.18,219200,21.774371
2016-09-29,22.25,22.51,21.719999,22.030001,248000,21.627114
2016-09-28,21.709999,22.33,21.620001,22.280001,299700,21.872542
2016-09-27,21.299999,21.84,21.17,21.639999,180100,21.244245
2016-09-26,21.34,21.57,21.18,21.540001,170800,21.146076
2016-09-23,21.52,21.57,21.030001,21.209999,277900,20.822109
2016-09-22,22.24,22.25,21.51,21.559999,238900,21.165709
2016-09-21,21.59,22.32,21.59,21.99,513900,21.587845
2016-09-20,20.969999,21.780001,20.969999,21.459999,153000,21.067537
2016-09-19,21.200001,21.299999,20.93,21.00,197200,20.61595
2016-09-16,20.26,20.99,20.17,20.91,358700,20.527596
2016-09-15,20.09,20.530001,19.870001,20.440001,147400,20.066192
2016-09-14,19.969999,20.389999,19.82,20.190001,194200,19.820764
2016-09-13,21.09,21.219999,19.50,19.950001,358800,19.585154
2016-09-12,20.99,21.700001,20.799999,21.34,263000,20.949733
2016-09-09,21.60,21.709999,21.25,21.299999,247200,20.910463
2016-09-08,21.10,21.790001,20.83,21.65,239600,21.254063
2016-09-07,21.620001,22.08,20.85,21.01,310100,20.625768
2016-09-06,20.92,21.57,20.85,21.559999,346500,21.165709
2016-09-02,20.68,20.84,20.27,20.83,473900,20.449059
2016-09-01,20.48,20.59,19.82,20.530001,175800,20.154546
2016-08-31,20.00,20.559999,19.93,20.389999,309900,20.017106
2016-08-30,20.66,20.969999,19.85,20.209999,254600,19.840397
2016-08-29,20.10,20.92,20.10,20.82,296400,20.439242
2016-08-26,20.879999,20.889999,20.040001,20.219999,177000,19.850214
2016-08-25,20.75,20.889999,20.52,20.719999,217800,20.34107
2016-08-24,21.059999,21.120001,20.66,20.790001,248700,20.409792
2016-08-23,19.90,21.200001,19.860001,21.120001,520900,20.733757
2016-08-22,19.50,19.870001,19.33,19.84,175000,19.477165
2016-08-19,20.040001,20.040001,19.50,19.549999,113100,19.192467
2016-08-18,19.809999,20.15,19.74,19.91,185900,19.545884
2016-08-17,20.00,20.49,19.719999,19.809999,192900,19.447713
2016-08-16,20.450001,20.73,19.719999,19.77,299600,19.408445
2016-08-15,19.82,20.92,19.700001,20.68,557000,20.301803
2016-08-12,19.15,19.99,18.85,19.92,512600,19.555702
2016-08-11,18.530001,19.139999,18.299999,19.049999,219700,18.701611
2016-08-10,19.459999,19.48,18.360001,18.530001,283800,18.191123
2016-08-09,19.690001,19.719999,19.17,19.24,302100,18.888137
2016-08-08,19.32,19.73,19.25,19.459999,285100,19.104113
2016-08-05,19.309999,19.41,18.85,19.26,239100,18.907772
