Date, Value
2014-12-31,20.08
2014-12-30,20.08
2014-12-29,20.08
2014-12-26,20.08
2014-12-24,20.08
2014-12-23,20.08
2014-12-22,20.08
2014-12-19,20.08
2014-12-18,20.08
2014-12-17,20.08
2014-12-16,20.08
2014-12-15,20.08
2014-12-12,20.08
2014-12-11,20.08
2014-12-10,20.08
2014-12-09,20.08
2014-12-08,20.08
2014-12-05,20.08
2014-12-04,20.08
2014-12-03,20.08
2014-12-02,20.08
2014-12-01,20.08
2014-11-28,19.75
2014-11-26,19.75
2014-11-25,19.75
2014-11-24,19.75
2014-11-21,19.75
2014-11-20,19.75
2014-11-19,19.75
2014-11-18,19.75
2014-11-17,19.75
2014-11-14,19.75
2014-11-13,19.75
2014-11-12,19.75
2014-11-11,19.75
2014-11-10,19.75
2014-11-07,19.75
2014-11-06,19.75
2014-11-05,19.75
2014-11-04,19.75
2014-11-03,19.75
2014-10-31,18.5
2014-10-30,18.5
2014-10-29,18.5
2014-10-28,18.5
2014-10-27,18.5
2014-10-24,18.5
2014-10-23,18.5
2014-10-22,18.5
2014-10-21,18.5
2014-10-20,18.5
2014-10-17,18.5
2014-10-16,18.5
2014-10-15,18.5
2014-10-14,18.5
2014-10-13,18.5
2014-10-10,18.5
2014-10-09,18.5
2014-10-08,18.5
2014-10-07,18.5
2014-10-06,18.5
2014-10-03,18.5
2014-10-02,18.5
2014-10-01,18.5
2014-09-30,18.81
2014-09-29,18.81
2014-09-26,18.81
2014-09-25,18.81
2014-09-24,18.81
2014-09-23,18.81
2014-09-22,18.81
2014-09-19,18.81
2014-09-18,18.81
2014-09-17,18.81
2014-09-16,18.81
2014-09-15,18.81
2014-09-12,18.81
2014-09-11,18.81
2014-09-10,18.81
2014-09-09,18.81
2014-09-08,18.81
2014-09-05,18.81
2014-09-04,18.81
2014-09-03,18.81
2014-09-02,18.81
2014-08-29,18.68
2014-08-28,18.68
2014-08-27,18.68
2014-08-26,18.68
2014-08-25,18.68
