Date, Value
2014-12-31,26.79
2014-12-30,26.79
2014-12-29,26.79
2014-12-26,26.79
2014-12-24,26.79
2014-12-23,26.79
2014-12-22,26.79
2014-12-19,26.79
2014-12-18,26.79
2014-12-17,26.79
2014-12-16,26.79
2014-12-15,26.79
2014-12-12,26.79
2014-12-11,26.79
2014-12-10,26.79
2014-12-09,26.79
2014-12-08,26.79
2014-12-05,26.79
2014-12-04,26.79
2014-12-03,26.79
2014-12-02,26.79
2014-12-01,26.79
2014-11-28,26.61
2014-11-26,26.61
2014-11-25,26.61
2014-11-24,26.61
2014-11-21,26.61
2014-11-20,26.61
2014-11-19,26.61
2014-11-18,26.61
2014-11-17,26.61
2014-11-14,26.61
2014-11-13,26.61
2014-11-12,26.61
2014-11-11,26.61
2014-11-10,26.61
2014-11-07,26.61
2014-11-06,26.61
2014-11-05,26.61
2014-11-04,26.61
2014-11-03,26.61
2014-10-31,25.16
2014-10-30,25.16
2014-10-29,25.16
2014-10-28,25.16
2014-10-27,25.16
2014-10-24,25.16
2014-10-23,25.16
2014-10-22,25.16
2014-10-21,25.16
2014-10-20,25.16
2014-10-17,25.16
2014-10-16,25.16
2014-10-15,25.16
2014-10-14,25.16
2014-10-13,25.16
2014-10-10,25.16
2014-10-09,25.16
2014-10-08,25.16
2014-10-07,25.16
2014-10-06,25.16
2014-10-03,25.16
2014-10-02,25.16
2014-10-01,25.16
2014-09-30,25.92
2014-09-29,25.92
2014-09-26,25.92
2014-09-25,25.92
2014-09-24,25.92
2014-09-23,25.92
2014-09-22,25.92
2014-09-19,25.92
2014-09-18,25.92
2014-09-17,25.92
2014-09-16,25.92
2014-09-15,25.92
2014-09-12,25.92
2014-09-11,25.92
2014-09-10,25.92
2014-09-09,25.92
2014-09-08,25.92
2014-09-05,25.92
2014-09-04,25.92
2014-09-03,25.92
2014-09-02,25.92
2014-08-29,25.62
2014-08-28,25.62
2014-08-27,25.62
2014-08-26,25.62
2014-08-25,25.62
2014-08-22,25.62
2014-08-21,25.62
2014-08-20,25.62
2014-08-19,25.62
2014-08-18,25.62
2014-08-15,25.62
2014-08-14,25.62
2014-08-13,25.62
2014-08-12,25.62
2014-08-11,25.62
2014-08-08,25.62
2014-08-07,25.62
2014-08-06,25.62
2014-08-05,25.62
2014-08-04,25.62
2014-08-01,25.62
2014-07-31,25.82
2014-07-30,25.82
2014-07-29,25.82
2014-07-28,25.82
2014-07-25,25.82
2014-07-24,25.82
2014-07-23,25.82
2014-07-22,25.82
2014-07-21,25.82
2014-07-18,25.82
2014-07-17,25.82
2014-07-16,25.82
2014-07-15,25.82
2014-07-14,25.82
2014-07-11,25.82
2014-07-10,25.82
2014-07-09,25.82
2014-07-08,25.82
2014-07-07,25.82
2014-07-03,25.82
2014-07-02,25.82
2014-07-01,25.82
2014-06-30,25.56
2014-06-27,25.56
2014-06-26,25.56
2014-06-25,25.56
2014-06-24,25.56
2014-06-23,25.56
2014-06-20,25.56
2014-06-19,25.56
2014-06-18,25.56
2014-06-17,25.56
2014-06-16,25.56
2014-06-13,25.56
2014-06-12,25.56
2014-06-11,25.56
2014-06-10,25.56
2014-06-09,25.56
2014-06-06,25.56
2014-06-05,25.56
2014-06-04,25.56
2014-06-03,25.56
2014-06-02,25.56
2014-05-30,24.94
2014-05-29,24.94
2014-05-28,24.94
2014-05-27,24.94
2014-05-23,24.94
2014-05-22,24.94
2014-05-21,24.94
2014-05-20,24.94
2014-05-19,24.94
2014-05-16,24.94
2014-05-15,24.94
2014-05-14,24.94
2014-05-13,24.94
2014-05-12,24.94
2014-05-09,24.94
2014-05-08,24.94
2014-05-07,24.94
2014-05-06,24.94
2014-05-05,24.94
2014-05-02,24.94
2014-05-01,24.94
2014-04-30,24.79
2014-04-29,24.79
2014-04-28,24.79
2014-04-25,24.79
2014-04-24,24.79
2014-04-23,24.79
2014-04-22,24.79
2014-04-21,24.79
2014-04-17,24.79
2014-04-15,24.79
2014-04-14,24.79
2014-04-11,24.79
2014-04-10,24.79
2014-04-09,24.79
2014-04-08,24.79
2014-04-07,24.79
2014-04-04,24.79
2014-04-03,24.79
2014-04-02,24.79
2014-04-01,24.79
2014-03-31,24.96
2014-03-28,24.96
2014-03-27,24.96
2014-03-26,24.96
2014-03-25,24.96
2014-03-24,24.96
2014-03-21,24.96
2014-03-20,24.96
2014-03-19,24.96
2014-03-18,24.96
2014-03-17,24.96
2014-03-14,24.96
2014-03-12,24.96
2014-03-11,24.96
2014-03-10,24.96
2014-03-07,24.96
2014-03-06,24.96
2014-03-05,24.96
2014-03-04,24.96
2014-03-03,24.96
2014-02-28,24.59
2014-02-27,24.59
2014-02-26,24.59
2014-02-25,24.59
2014-02-24,24.59
2014-02-21,24.59
2014-02-20,24.59
2014-02-19,24.59
2014-02-18,24.59
2014-02-14,24.59
2014-02-13,24.59
2014-02-12,24.59
2014-02-11,24.59
2014-02-10,24.59
2014-02-07,24.59
2014-02-06,24.59
2014-02-05,24.59
2014-02-04,24.59
2014-02-03,24.59
2014-01-31,24.86
2014-01-30,24.86
2014-01-29,24.86
2014-01-28,24.86
2014-01-27,24.86
2014-01-24,24.86
2014-01-23,24.86
2014-01-22,24.86
2014-01-21,24.86
2014-01-17,24.86
2014-01-16,24.86
2014-01-15,24.86
2014-01-14,24.86
2014-01-13,24.86
2014-01-10,24.86
2014-01-09,24.86
2014-01-08,24.86
2014-01-07,24.86
2014-01-06,24.86
2014-01-03,24.86
2014-01-02,24.86
2013-12-31,24.86
2013-12-30,24.86
2013-12-27,24.86
2013-12-26,24.86
2013-12-24,24.86
2013-12-23,24.86
2013-12-20,24.86
2013-12-19,24.86
2013-12-18,24.86
2013-12-17,24.86
2013-12-16,24.86
2013-12-13,24.86
2013-12-12,24.86
2013-12-11,24.86
2013-12-10,24.86
2013-12-09,24.86
2013-12-06,24.86
2013-12-05,24.86
2013-12-04,24.86
2013-12-03,24.86
2013-12-02,24.86
2013-11-29,24.64
2013-11-27,24.64
2013-11-26,24.64
2013-11-25,24.64
2013-11-22,24.64
2013-11-21,24.64
2013-11-20,24.64
2013-11-19,24.64
2013-11-18,24.64
2013-11-15,24.64
2013-11-14,24.64
2013-11-13,24.64
2013-11-12,24.64
2013-11-11,24.64
2013-11-08,24.64
2013-11-07,24.64
2013-11-06,24.64
2013-11-05,24.64
2013-11-04,24.64
2013-11-01,24.64
2013-10-31,23.83
2013-10-30,23.83
2013-10-29,23.83
2013-10-28,23.83
2013-10-25,23.83
2013-10-24,23.83
2013-10-23,23.83
2013-10-22,23.83
2013-10-21,23.83
2013-10-17,23.83
2013-10-16,23.83
2013-10-15,23.83
2013-10-14,23.83
2013-10-11,23.83
2013-10-10,23.83
2013-10-09,23.83
2013-10-08,23.83
2013-10-07,23.83
2013-10-04,23.83
2013-10-03,23.83
2013-10-02,23.83
2013-10-01,23.83
2013-09-30,23.44
2013-09-27,23.44
2013-09-26,23.44
2013-09-25,23.44
2013-09-24,23.44
2013-09-23,23.44
2013-09-20,23.44
2013-09-19,23.44
2013-09-18,23.44
2013-09-17,23.44
2013-09-16,23.44
2013-09-13,23.44
2013-09-12,23.44
2013-09-11,23.44
2013-09-10,23.44
